調査年,地域,C2207_従業者数（経済センサス‐基礎調査結果）【人】,C220848_従業者数（民営）（生活関連サービス業，娯楽業）【人】,C620118_付加価値額（民営）（生活関連サービス業，娯楽業）【百万円】,F2701_自市区町村で従業している就業者数【人】,F2702_県内他市区町村で従業している就業者数【人】,F2703_他県で従業している就業者数【人】
2010年度,山口県 岩国市,***,***,***,52072,4670,5525
2010年度,山口県 光市,***,***,***,14224,8467,155
2010年度,山口県 長門市,***,***,***,16070,1967,217
2010年度,山口県 柳井市,***,***,***,9929,4918,273
2010年度,山口県 美祢市,***,***,***,10539,3309,57
2010年度,山口県 周南市,***,***,***,55383,11634,513
2010年度,山口県 山陽小野田市,***,***,***,17748,10400,264
2010年度,徳島県 徳島市,***,***,***,93403,18239,989
2010年度,徳島県 鳴門市,***,***,***,17647,8895,519
2010年度,徳島県 小松島市,***,***,***,9472,8209,81
2010年度,徳島県 阿南市,***,***,***,25620,7068,165
2010年度,徳島県 吉野川市,***,***,***,10637,7694,230
2010年度,徳島県 阿波市,***,***,***,11027,6542,304
2010年度,徳島県 美馬市,***,***,***,8901,3780,536
2010年度,徳島県 三好市,***,***,***,9458,1460,1080
2010年度,香川県 高松市,***,***,***,169095,18165,1706
2010年度,香川県 丸亀市,***,***,***,28075,21342,478
2010年度,香川県 坂出市,***,***,***,14839,9383,305
2010年度,香川県 善通寺市,***,***,***,7885,7518,159
2010年度,香川県 観音寺市,***,***,***,22719,6645,1301
2010年度,香川県 さぬき市,***,***,***,13664,9984,206
2010年度,香川県 東かがわ市,***,***,***,11517,3732,409
2010年度,香川県 三豊市,***,***,***,20498,11822,460
2010年度,愛媛県 松山市,***,***,***,203772,20801,925
2010年度,愛媛県 今治市,***,***,***,68200,4068,368
2010年度,愛媛県 宇和島市,***,***,***,35765,2127,103
2010年度,愛媛県 八幡浜市,***,***,***,15114,2868,48
2010年度,愛媛県 新居浜市,***,***,***,46615,6284,263
2010年度,愛媛県 西条市,***,***,***,41625,9025,128
2010年度,愛媛県 大洲市,***,***,***,17453,3301,32
2010年度,愛媛県 伊予市,***,***,***,10476,7775,38
2010年度,愛媛県 四国中央市,***,***,***,37940,2247,1567
2010年度,愛媛県 西予市,***,***,***,15702,2997,90
2010年度,愛媛県 東温市,***,***,***,8618,6664,60
2010年度,高知県 高知市,***,***,***,124927,17081,787
2010年度,高知県 室戸市,***,***,***,5182,681,102
2010年度,高知県 安芸市,***,***,***,7489,1990,16
2010年度,高知県 南国市,***,***,***,12236,10028,55
2010年度,高知県 土佐市,***,***,***,8483,4512,57
2010年度,高知県 須崎市,***,***,***,8935,1836,25
2010年度,高知県 宿毛市,***,***,***,8422,1510,268
2010年度,高知県 土佐清水市,***,***,***,5500,503,148
2010年度,高知県 四万十市,***,***,***,13909,2102,188
2010年度,高知県 香南市,***,***,***,9595,6489,55
2010年度,高知県 香美市,***,***,***,8058,4631,40
2010年度,福岡県 北九州市,***,***,***,246425,157319,5203
2010年度,福岡県 福岡市,***,***,***,309596,293767,6810
2010年度,福岡県 大牟田市,***,***,***,37276,5962,4778
2010年度,福岡県 久留米市,***,***,***,97698,27823,10358
2010年度,福岡県 直方市,***,***,***,12804,10533,103
2010年度,福岡県 飯塚市,***,***,***,38925,15820,259
2010年度,福岡県 田川市,***,***,***,12128,7119,57
2010年度,福岡県 柳川市,***,***,***,19087,10853,1349
2010年度,福岡県 八女市,***,***,***,24696,8120,620
2010年度,福岡県 筑後市,***,***,***,10896,10396,910
2010年度,福岡県 大川市,***,***,***,10388,4692,2078
2010年度,福岡県 行橋市,***,***,***,16239,13831,431
2010年度,福岡県 豊前市,***,***,***,7273,2626,1822
2010年度,福岡県 中間市,***,***,***,5823,11232,82
2010年度,福岡県 小郡市,***,***,***,8510,13275,3397
2010年度,福岡県 筑紫野市,***,***,***,16521,25103,2248
2010年度,福岡県 春日市,***,***,***,14764,31953,885
2010年度,福岡県 大野城市,***,***,***,13093,27201,887
2010年度,福岡県 宗像市,***,***,***,17612,21853,357
2010年度,福岡県 太宰府市,***,***,***,8428,19598,871
2010年度,福岡県 古賀市,***,***,***,11694,14307,211
2010年度,福岡県 福津市,***,***,***,8590,14463,211
2010年度,福岡県 うきは市,***,***,***,9612,4922,649
2010年度,福岡県 宮若市,***,***,***,7054,5206,40
2010年度,福岡県 嘉麻市,***,***,***,8267,8111,80
2010年度,福岡県 朝倉市,***,***,***,18930,7261,764
2010年度,福岡県 みやま市,***,***,***,9945,8018,761
2010年度,福岡県 糸島市,***,***,***,23470,20006,920
2010年度,福岡県 那珂川市,***,***,***,8066,13683,335
2010年度,佐賀県 佐賀市,***,***,***,91367,12711,5157
2010年度,佐賀県 唐津市,***,***,***,50685,5487,2726
2010年度,佐賀県 鳥栖市,***,***,***,18131,4508,8103
2010年度,佐賀県 多久市,***,***,***,5338,4482,162
2010年度,佐賀県 伊万里市,***,***,***,22915,3801,1162
2010年度,佐賀県 武雄市,***,***,***,15581,7651,759
2010年度,佐賀県 鹿島市,***,***,***,10562,4288,310
2010年度,佐賀県 小城市,***,***,***,9789,11401,520
2010年度,佐賀県 嬉野市,***,***,***,8831,4568,511
2010年度,佐賀県 神埼市,***,***,***,6957,7716,1197
2010年度,長崎県 長崎市,***,***,***,174071,16289,1333
2010年度,長崎県 佐世保市,***,***,***,104193,7877,2413
2010年度,長崎県 島原市,***,***,***,18374,2973,111
2010年度,長崎県 諫早市,***,***,***,48556,14230,519
2010年度,長崎県 大村市,***,***,***,32011,8421,453
2010年度,長崎県 平戸市,***,***,***,13081,1799,408
2010年度,長崎県 松浦市,***,***,***,9040,1224,1257
2010年度,長崎県 対馬市,***,***,***,15438,10,21
2010年度,長崎県 壱岐市,***,***,***,13622,13,86
2010年度,長崎県 五島市,***,***,***,16618,65,119
2010年度,長崎県 西海市,***,***,***,12527,2322,62
2010年度,長崎県 雲仙市,***,***,***,17293,5576,126
2010年度,長崎県 南島原市,***,***,***,19658,3810,379
2010年度,熊本県 熊本市,***,***,***,279737,42099,2690
2010年度,熊本県 八代市,***,***,***,52120,6206,248
2010年度,熊本県 人吉市,***,***,***,13296,3065,171
2010年度,熊本県 荒尾市,***,***,***,11398,4604,6658
2010年度,熊本県 水俣市,***,***,***,10021,729,698
2010年度,熊本県 玉名市,***,***,***,21744,8969,1048
2010年度,熊本県 山鹿市,***,***,***,19412,6633,308
2010年度,熊本県 菊池市,***,***,***,16204,7795,86
2010年度,熊本県 宇土市,***,***,***,8708,8401,106
2010年度,熊本県 上天草市,***,***,***,10503,1828,410
2010年度,熊本県 宇城市,***,***,***,18885,9817,137
2010年度,熊本県 阿蘇市,***,***,***,11795,1978,98
2010年度,熊本県 天草市,***,***,***,36609,1821,237
2010年度,熊本県 合志市,***,***,***,9088,15358,194
2010年度,大分県 大分市,***,***,***,197117,14943,906
2010年度,大分県 別府市,***,***,***,40823,12151,282
2010年度,大分県 中津市,***,***,***,30669,2947,4270
2010年度,大分県 日田市,***,***,***,31060,723,1794
2010年度,大分県 佐伯市,***,***,***,31046,1890,136
2010年度,大分県 臼杵市,***,***,***,13034,5290,86
2010年度,大分県 津久見市,***,***,***,6464,1818,226
2010年度,大分県 竹田市,***,***,***,11176,1050,108
2010年度,大分県 豊後高田市,***,***,***,7949,2509,75
2010年度,大分県 杵築市,***,***,***,9463,4726,42
2010年度,大分県 宇佐市,***,***,***,19776,5924,628
2010年度,大分県 豊後大野市,***,***,***,13992,3756,43
2010年度,大分県 由布市,***,***,***,10966,5231,46
2010年度,大分県 国東市,***,***,***,12801,1707,35
2010年度,宮崎県 宮崎市,***,***,***,169749,11331,557
2010年度,宮崎県 都城市,***,***,***,69583,4966,2752
2010年度,宮崎県 延岡市,***,***,***,52274,3282,289
2010年度,宮崎県 日南市,***,***,***,23440,1433,649
2010年度,宮崎県 小林市,***,***,***,19385,3488,167
2010年度,宮崎県 日向市,***,***,***,23828,4710,128
2010年度,宮崎県 串間市,***,***,***,7951,749,634
2010年度,宮崎県 西都市,***,***,***,11176,4575,7
2010年度,宮崎県 えびの市,***,***,***,8323,1347,385
2010年度,鹿児島県 鹿児島市,***,***,***,248096,15320,914
2010年度,鹿児島県 鹿屋市,***,***,***,40784,5709,161
2010年度,鹿児島県 枕崎市,***,***,***,8578,1942,347
2010年度,鹿児島県 阿久根市,***,***,***,8080,2190,59
2010年度,鹿児島県 出水市,***,***,***,21270,2573,788
2010年度,鹿児島県 指宿市,***,***,***,18954,2050,118
2010年度,鹿児島県 西之表市,***,***,***,8281,332,11
2010年度,鹿児島県 垂水市,***,***,***,6151,1503,5
2010年度,鹿児島県 薩摩川内市,***,***,***,39271,4586,111
2010年度,鹿児島県 日置市,***,***,***,13730,8217,72
2010年度,鹿児島県 曽於市,***,***,***,13264,1650,3631
2010年度,鹿児島県 霧島市,***,***,***,47539,6410,490
2010年度,鹿児島県 いちき串木野市,***,***,***,9399,4122,175
2010年度,鹿児島県 南さつま市,***,***,***,12010,3624,135
2010年度,鹿児島県 志布志市,***,***,***,12436,2533,439
2010年度,鹿児島県 奄美市,***,***,***,18666,1060,16
2010年度,鹿児島県 南九州市,***,***,***,14360,3599,70
2010年度,鹿児島県 伊佐市,***,***,***,11820,1356,92
2010年度,鹿児島県 姶良市,***,***,***,19500,12097,180
2010年度,沖縄県 那覇市,***,***,***,87482,29028,317
2010年度,沖縄県 宜野湾市,***,***,***,13031,20341,76
2010年度,沖縄県 石垣市,***,***,***,20766,140,30
2010年度,沖縄県 浦添市,***,***,***,20376,22422,77
2010年度,沖縄県 名護市,***,***,***,18746,3213,17
2010年度,沖縄県 糸満市,***,***,***,12860,10112,23
2010年度,沖縄県 沖縄市,***,***,***,24815,20154,89
2010年度,沖縄県 豊見城市,***,***,***,7764,14847,45
2010年度,沖縄県 うるま市,***,***,***,22530,17146,46
2010年度,沖縄県 宮古島市,***,***,***,23215,14,10
2010年度,沖縄県 南城市,***,***,***,7430,8801,13
2009年度,北海道 札幌市,927971,***,***,***,***,***
2009年度,北海道 函館市,131692,***,***,***,***,***
2009年度,北海道 小樽市,60321,***,***,***,***,***
2009年度,北海道 旭川市,162820,***,***,***,***,***
2009年度,北海道 室蘭市,51376,***,***,***,***,***
2009年度,北海道 釧路市,86190,***,***,***,***,***
2009年度,北海道 帯広市,88078,***,***,***,***,***
2009年度,北海道 北見市,57614,***,***,***,***,***
2009年度,北海道 夕張市,4293,***,***,***,***,***
2009年度,北海道 岩見沢市,34965,***,***,***,***,***
2009年度,北海道 網走市,19797,***,***,***,***,***
2009年度,北海道 留萌市,12658,***,***,***,***,***
2009年度,北海道 苫小牧市,86934,***,***,***,***,***
2009年度,北海道 稚内市,19663,***,***,***,***,***
2009年度,北海道 美唄市,10384,***,***,***,***,***
2009年度,北海道 芦別市,6397,***,***,***,***,***
2009年度,北海道 江別市,35730,***,***,***,***,***
2009年度,北海道 赤平市,5074,***,***,***,***,***
2009年度,北海道 紋別市,12597,***,***,***,***,***
2009年度,北海道 士別市,9281,***,***,***,***,***
2009年度,北海道 名寄市,14577,***,***,***,***,***
2009年度,北海道 三笠市,4227,***,***,***,***,***
2009年度,北海道 根室市,14726,***,***,***,***,***
2009年度,北海道 千歳市,49483,***,***,***,***,***
2009年度,北海道 滝川市,18899,***,***,***,***,***
2009年度,北海道 砂川市,9591,***,***,***,***,***
2009年度,北海道 歌志内市,1381,***,***,***,***,***
2009年度,北海道 深川市,9916,***,***,***,***,***
2009年度,北海道 富良野市,11888,***,***,***,***,***
2009年度,北海道 登別市,16706,***,***,***,***,***
2009年度,北海道 恵庭市,28323,***,***,***,***,***
2009年度,北海道 伊達市,14240,***,***,***,***,***
2009年度,北海道 北広島市,23745,***,***,***,***,***
2009年度,北海道 石狩市,28109,***,***,***,***,***
2009年度,北海道 北斗市,17102,***,***,***,***,***
2009年度,青森県 青森市,145368,***,***,***,***,***
2009年度,青森県 弘前市,88657,***,***,***,***,***
2009年度,青森県 八戸市,121217,***,***,***,***,***
2009年度,青森県 黒石市,13428,***,***,***,***,***
2009年度,青森県 五所川原市,25178,***,***,***,***,***
2009年度,青森県 十和田市,31738,***,***,***,***,***
2009年度,青森県 三沢市,20433,***,***,***,***,***
2009年度,青森県 むつ市,26786,***,***,***,***,***
2009年度,青森県 つがる市,11268,***,***,***,***,***
2009年度,青森県 平川市,11875,***,***,***,***,***
2009年度,岩手県 盛岡市,165672,***,***,***,***,***
2009年度,岩手県 宮古市,24240,***,***,***,***,***
2009年度,岩手県 大船渡市,19580,***,***,***,***,***
2009年度,岩手県 花巻市,43346,***,***,***,***,***
2009年度,岩手県 北上市,51937,***,***,***,***,***
2009年度,岩手県 久慈市,16638,***,***,***,***,***
2009年度,岩手県 遠野市,11452,***,***,***,***,***
2009年度,岩手県 一関市,56771,***,***,***,***,***
2009年度,岩手県 陸前高田市,7740,***,***,***,***,***
2009年度,岩手県 釜石市,18679,***,***,***,***,***
2009年度,岩手県 二戸市,13270,***,***,***,***,***
2009年度,岩手県 八幡平市,11316,***,***,***,***,***
2009年度,岩手県 奥州市,53405,***,***,***,***,***
2009年度,岩手県 滝沢市,17096,***,***,***,***,***
2009年度,宮城県 仙台市,581755,***,***,***,***,***
2009年度,宮城県 石巻市,71512,***,***,***,***,***
2009年度,宮城県 塩竈市,23259,***,***,***,***,***
2009年度,宮城県 気仙沼市,33628,***,***,***,***,***
2009年度,宮城県 白石市,14630,***,***,***,***,***
2009年度,宮城県 名取市,31395,***,***,***,***,***
2009年度,宮城県 角田市,15267,***,***,***,***,***
2009年度,宮城県 多賀城市,25323,***,***,***,***,***
2009年度,宮城県 岩沼市,22284,***,***,***,***,***
2009年度,宮城県 登米市,35442,***,***,***,***,***
2009年度,宮城県 栗原市,30670,***,***,***,***,***
2009年度,宮城県 東松島市,13227,***,***,***,***,***
2009年度,宮城県 大崎市,60802,***,***,***,***,***
2009年度,宮城県 富谷市,12057,***,***,***,***,***
2009年度,秋田県 秋田市,168748,***,***,***,***,***
2009年度,秋田県 能代市,27764,***,***,***,***,***
2009年度,秋田県 横手市,45825,***,***,***,***,***
2009年度,秋田県 大館市,36965,***,***,***,***,***
2009年度,秋田県 男鹿市,11499,***,***,***,***,***
2009年度,秋田県 湯沢市,23640,***,***,***,***,***
2009年度,秋田県 鹿角市,14548,***,***,***,***,***
2009年度,秋田県 由利本荘市,37209,***,***,***,***,***
2009年度,秋田県 潟上市,9747,***,***,***,***,***
2009年度,秋田県 大仙市,40123,***,***,***,***,***
2009年度,秋田県 北秋田市,15459,***,***,***,***,***
2009年度,秋田県 にかほ市,13368,***,***,***,***,***
2009年度,秋田県 仙北市,13038,***,***,***,***,***
2009年度,山形県 山形市,140484,***,***,***,***,***
2009年度,山形県 米沢市,48697,***,***,***,***,***
2009年度,山形県 鶴岡市,65583,***,***,***,***,***
2009年度,山形県 酒田市,54629,***,***,***,***,***
2009年度,山形県 新庄市,20741,***,***,***,***,***
2009年度,山形県 寒河江市,20782,***,***,***,***,***
2009年度,山形県 上山市,13444,***,***,***,***,***
2009年度,山形県 村山市,10454,***,***,***,***,***
2009年度,山形県 長井市,14511,***,***,***,***,***
2009年度,山形県 天童市,30331,***,***,***,***,***
2009年度,山形県 東根市,24567,***,***,***,***,***
2009年度,山形県 尾花沢市,7807,***,***,***,***,***
2009年度,山形県 南陽市,14320,***,***,***,***,***
2009年度,福島県 福島市,149635,***,***,***,***,***
2009年度,福島県 会津若松市,67081,***,***,***,***,***
2009年度,福島県 郡山市,180857,***,***,***,***,***
2009年度,福島県 いわき市,153635,***,***,***,***,***
2009年度,福島県 白河市,30218,***,***,***,***,***
2009年度,福島県 須賀川市,31881,***,***,***,***,***
2009年度,福島県 喜多方市,20671,***,***,***,***,***
2009年度,福島県 相馬市,17743,***,***,***,***,***
2009年度,福島県 二本松市,24811,***,***,***,***,***
2009年度,福島県 田村市,15159,***,***,***,***,***
2009年度,福島県 南相馬市,30629,***,***,***,***,***
2009年度,福島県 伊達市,25544,***,***,***,***,***
2009年度,福島県 本宮市,16577,***,***,***,***,***
2009年度,茨城県 水戸市,164648,***,***,***,***,***
2009年度,茨城県 日立市,100972,***,***,***,***,***
